ID	MOFA.MESOMICS.Cell division	MOFA.MESOMICS.Tumor-immune-interaction	MOFA.MESOMICS.Acinar
MESO_001_T	0.349710290660984	0.299338514626641	0.350951194712375
MESO_002_T2	0.299461166950571	0.551234227548781	0.149304605500648
MESO_003_T2	0.398004274319616	0.176277101013398	0.425718624666986
MESO_006_T	0.442357618701446	0	0.557642381298554
MESO_007_T	0.14759397316994	0.0470578905832164	0.805348136246844
MESO_009_T	0.218460091105718	0.344538793444162	0.43700111545012
MESO_010_T	0.430633426528836	0	0.569366573471164
MESO_011_T	0.397594146977338	0.0109438539664222	0.59146199905624
MESO_012_T	0	0.707929257717762	0.292070742282238
MESO_013_T	0.338629672765698	0	0.661370327234302
MESO_014_T	0.388529757396923	0.0660384860152794	0.545431756587798
MESO_015_T	0.208285678114343	0.0726214885654151	0.719092833320242
MESO_016_T	0.150955134836714	0.0390307917943705	0.810014073368915
MESO_017_T	0.258908912962791	0.174058082220271	0.567033004816938
MESO_018_T	0.348278181342039	0	0.651721818657961
MESO_019_T	0.809452601396079	0.190547398603921	0
MESO_020_T	0.0342081832603428	0.377190898075814	0.588600918663844
MESO_021_T	0.308402698972224	0.153360134262971	0.538237166764805
MESO_022_T	0.0854321839792549	0.359024540252123	0.555543275768622
MESO_023_T	0.107040168039896	0.657468687924895	0.235491144035209
MESO_024_T	0.331473472737382	0.542635090565194	0.125891436697423
MESO_025_T	0.41725174724351	0.122519216443198	0.460229036313292
MESO_026_T	0.0392065716058898	0.218960244899521	0.74183318349459
MESO_027_T	0.309914970756121	0.153152974493012	0.536932054750867
MESO_028_T	0.0816652313244806	0.135902572920688	0.782432195754832
MESO_029_T	0.333124600504983	0.135201779982007	0.531673619513011
MESO_030_T	0	0.903184941992435	0.0968150580075647
MESO_031_T	0.281874248026407	0.274806266363149	0.443319485610445
MESO_032_T	0.237534356623399	0.444284846887454	0.318180796489146
MESO_033_T	0	0.619102189817748	0.380897810182252
MESO_034_T	0	0.546660204485479	0.453339795514521
MESO_035_T	0.170831700029322	0.468233464127494	0.360934835843184
MESO_036_T	0.0547594214836182	0.53348318702295	0.411757391493432
MESO_037_T	0.603029049313398	0.120828017622097	0.276142933064504
MESO_038_T	0.279314584041107	0.300114109024485	0.420571306934408
MESO_039_T	0.0712738365652973	0.591690322125524	0.337035841309179
MESO_040_T	0.299291729569897	0.232219254568819	0.468489015861284
MESO_041_T1	0.133729055170213	0.486988625808097	0.37928231902169
MESO_042_T1	0	0.50063133271483	0.49936866728517
MESO_043_T	0	0.346982536931641	0.653017463068359
MESO_044_T	0.354314961290427	0.42153430398211	0.224150734727463
MESO_045_T	0	0.77532019594947	0.22467980405053
MESO_046_T	0.475695259116345	0	0.524304740883655
MESO_047_T	0.222739131450086	0.510319771858541	0.266941096691373
MESO_048_T1	0.445874025808219	0.107080897525305	0.447045076666476
MESO_049_T	0.0856343478205545	0.25895139691748	0.655414255261965
MESO_050_T	0.0168912982675033	0.83149682826774	0.151611873464757
MESO_051_T	0.307946051804847	0.228422663830982	0.463631284364171
MESO_052_T2	0.112348827202648	0.239089215653389	0.648561957143963
MESO_053_T	0.299112779039349	0.0267514636253521	0.674135757335299
MESO_054_T	0	0.45665612597561	0.54334387402439
MESO_055_T	0.250281717051763	0.580707558137165	0.169010724811072
MESO_056_T2	0.3311786045908	0.0264096437578681	0.642411751651332
MESO_057_T2	0.307498064460647	0	0.692501935539353
MESO_058_T2	0.114038895313519	0.581515328736903	0.304445775949578
MESO_059_T1	0	0.48595161693367	0.51404838306633
MESO_060_T	0	0	1
MESO_061_T	0.0224360087471823	0.977563991252818	0
MESO_062_T2	0	0.464293225513579	0.535706774486421
MESO_063_T	0.0580924838619051	0.471227372142622	0.470680143995473
MESO_064_T	0.428337582133923	0.0550479859690907	0.516614431896986
MESO_065_T	0.00934932667866475	0.357553032297608	0.633097641023728
MESO_066_T	0.163650803489957	0.454809473985134	0.381539722524909
MESO_067_T	0.204552399894963	0.29925855938654	0.496189040718497
MESO_068_T	0.054837220015011	0.488843245081624	0.456319534903365
MESO_069_T	0.0643119763060975	0.348565850141984	0.587122173551919
MESO_070_T	0.205222085071025	0.66614966891536	0.128628246013615
MESO_071_T	0.0701373447096857	0.0541346871324025	0.875727968157912
MESO_072_T	0.616897124204269	0.0763719460997961	0.306730929695935
MESO_073_T	0.180330018652876	0.312679381476255	0.506990599870869
MESO_074_T	0.506068476746368	0	0.493931523253632
MESO_075_T	0.265508942353879	0.28358851214707	0.450902545499051
MESO_076_T	0.241522328245018	0.290694616979687	0.467783054775295
MESO_077_T	0.410808115190374	0.0298779124462992	0.559313972363327
MESO_078_T	0.438842347489628	0.0143699686085664	0.546787683901805
MESO_079_T	0	0.909722543396158	0.0902774566038417
MESO_080_T	0.352574114295385	0.108333287859187	0.539092597845428
MESO_081_T	0.0544136650493811	0.468589509134322	0.476996825816297
MESO_082_T	0.579760910103649	0.239598837191771	0.18064025270458
MESO_083_T	0.289792812954715	0.0368405746809282	0.673366612364357
MESO_084_T	0.0843318652421055	0.328198072742773	0.587470062015121
MESO_085_T	0.0172337342688847	0.00218826557819624	0.980578000152919
MESO_086_T	0	0.464279811216208	0.535720188783792
MESO_087_T	0.171355872756471	0.31122901486118	0.517415112382349
MESO_088_T	0.344849823490635	0.102895144133095	0.55225503237627
MESO_089_T	0	0.165406566375891	0.834593433624108
MESO_090_T	0.0242648741084365	0.693743244820305	0.281991881071258
MESO_091_T	0.367986110895066	0.182827746884115	0.449186142220818
MESO_092_T	0.11862426837606	0	0.88137573162394
MESO_093_T	0.21682964714959	0.34143971973909	0.44173063311132
MESO_094_T1	0.119900910960851	0.846524772340738	0.0335743166984108
MESO_095_T	0.373097344720742	0.374040492051298	0.25286216322796
MESO_097_T	1	0	0
MESO_098_T	0.790045796641858	0.209954203358142	0
MESO_099_T	0.341353946464225	0.623396253801433	0.0352497997343415
MESO_100_T	0.757785868700588	0.124248285894286	0.117965845405125
MESO_101_T	0.719087514941247	0.27658656005958	0.0043259249991736
MESO_102_T	0.442363763589211	0.194227146328695	0.363409090082094
MESO_103_T	0.145205001072293	0.559857137689985	0.294937861237722
MESO_104_T	0.698723002265004	0.198940182081133	0.102336815653863
MESO_105_T	0.814561771077981	0	0.185438228922019
MESO_106_T	0.038723677664337	0.961276322335663	0
MESO_107_T	0.584452826477209	0.415547173522791	0
MESO_108_T	0.716954472076361	0.283045527923639	0
MESO_109_T	0.730687704395898	0.196698391257137	0.0726139043469643
MESO_110_T	0.771255245190546	0.10196644968733	0.126778305122124
MESO_111_T	0.434987123329676	0	0.565012876670324
MESO_112_T	0.840238207287656	0.0725755097939462	0.0871862829183974
MESO_113_T	0.541457608292614	0.420821597530648	0.0377207941767384
