"Model","Sample","Axis","Correlation","RMSE"
"MOFA-SRR18543972","SRR18543972","Morphology_LF",0.995935992516524,0.216158168831408
"MOFA-SRR18543972","SRR18543972","Adaptive-response_LF",0.963138925155502,0.38799251685493
