"Sample","sc-enriched","Ca A1","Ca B","Ca A2"
"LNEN067_TU",0.0135175956865772,0.0407296513264207,0.936610756362051,0.00914199662495138
"LNEN068_TU",0.25746799058473,0.689411765972462,0.0313805892915944,0.0217396541512135
"LNEN069_TU",0.155004649284518,0.442827880101886,0.350021927762795,0.0521455428508006
"LNEN071_TU",0.714960512889907,0.118124860989101,0.0595020023715908,0.107412623749402
"LNEN072_TU",0.443240087900003,0.00993448407993242,0.497955202602562,0.0488702254175027
"LNEN073_TU",0,0.0538197560415735,0.946180243958426,0
"LNEN074_TU",0.253335175644089,0.0338341467856533,0,0.712830677570258
"LNEN076_TU",0.239160961827205,0.690306196115731,0.0705328420570644,0
"LNEN077_TU",0.0874284753124436,0.251322896478121,0.18334780099227,0.477900827217165
"LNEN079_TU",0.254302371840692,0,0.00355009389428884,0.74214753426502
"LNEN081_TU",0.0373880256131212,0.85921616607194,0.0532142753769471,0.0501815329379918
"LNEN082_TU",0.161993816130832,0.0729159022612078,0.746390016261317,0.0187002653466432
"LNEN083_TU",0.118482568310491,0,0.881517431689509,0
"LNEN084_TU",0.514731138778085,0.00752076666125634,0.427605996479148,0.050142098081511
"LNEN085_TU",0.117132774252786,0.688606798774906,0.194260426972308,0
"LNEN086_TU",0.0336843248496008,0.0479116107767952,0.0299951968483151,0.888408867525289
"LNEN087_TU",0.0748771883861088,0.03540645489143,0.889716356722461,0
"LNEN089_TU",0.131431576637071,0.332442990503769,0.536125432859161,0
"LNEN090_TU",0.0180991396083874,0.0337748021678775,0.93988398579868,0.00824207242505512
"LNEN091_TU",0.359217657242393,0.640782342757607,0,0
"LNEN092_TU2",0.0194881258772008,0.934108915063212,0.0464029590595871,0
"LNEN093_TU2",0.17321948581376,0.713348721186946,0.0649985389962426,0.0484332540030507
"LNEN094_TU5",0.149845506267605,0,0.850154493732395,0
"LNEN095_TU2",0,0.0162314926572447,0.983768507342755,0
"LNEN096_TU3",0.0152978656236609,0.0121851875036411,0.0760204312298954,0.896496515642803
"LNEN097_TU5",0.00360500582670786,0.827937681921054,0.0162148918026854,0.152242420449553
"LNEN098_TU1",0.00461627483778293,0.0314981456951836,0.0193663231076415,0.944519256359392
"LNEN099_TU2",0.241901061904516,0.637086293318021,0.121012644777463,0
"LNEN100_TU1",0.161914695068731,0.838085304931269,0,0
"LNEN101_TU1",0.181794235379893,0.0538126564265033,0,0.764393108193604
"LNEN102_TU1",0.14357241872723,0.0696573019354958,0.0673372585640471,0.719433020773227
"LNEN103_TU2",0.139655969753395,0.798057612310588,0.0253993394683549,0.0368870784676617
"LNEN104_TU3",0.296194106167217,0.686309543782127,0,0.017496350050656
"LNEN105_TU1",0.258186568540494,0.664663428018516,0.0226764449645827,0.0544735584764067
"LNEN106_TU1",0.00442811925060049,0,0.9955718807494,0
