"Sample","Factor1","Factor2","Factor5"
"LNEN002",2.93152682362172,-0.778836778144241,0.654034704262002
"LNEN003",0.141281048128896,1.90887628934229,0.381332385614461
"LNEN004",0.121415414811299,2.14883253715323,0.423750977147909
"LNEN005",-0.0531877033596717,-0.663661521423795,-5.13934245751566
"LNEN006",0.29001517746573,1.27047425499718,0.224200108810661
"LNEN007",3.28805797886235,-0.700315151955857,0.689390473221642
"LNEN008",3.22608372166154,-0.85152979804425,0.921770552117166
"LNEN009",1.90262832162416,-0.197278320153166,-1.37744314549398
"LNEN010",3.78453381825248,-0.923875800783982,0.667373763032818
"LNEN011",-0.206080710716075,2.32453625330271,0.563950908296549
"LNEN012",0.565295894802178,-0.554065392121885,-4.0256577255758
"LNEN013",-1.78611917279548,-1.05649808195049,0.498359488725149
"LNEN014",3.58737272168547,-1.04564095898129,0.901571806526435
"LNEN015",2.78472956060901,-0.939507058109552,0.226667788504859
"LNEN016",0.0118686859515218,1.25201649688377,-1.16113571276348
"LNEN017",2.78640926457723,-0.755783307518261,-0.562742789389604
"LNEN018",0.438437256499652,1.19005387038337,0.0589885862431916
"LNEN019",-1.26311514376123,-1.06807984655247,-0.250646550527502
"LNEN020",2.81879071883125,-0.62321495921907,-0.42040038359734
"LNEN021",-1.55178240021206,-1.36423399963583,-0.517269242184137
"LNEN022",-0.065635793082178,-0.430614338977416,-3.53232481309145
"LNEN023",0.696710610594898,2.0245621186415,1.1708601186521
"LNEN024",-0.577761377153667,1.06090809870326,0.182493369655081
"LNEN025",0.0820301883316833,2.10793159737632,0.0692270747256494
"LNEN026",0.984060275529965,-1.05605298753602,-0.203851730831228
"LNEN027",-1.34110388261107,0.119770313068377,-0.0725114199299235
"LNEN028",0.0929550496683811,1.4980091919353,-0.490049707155933
"LNEN029",2.85557074080512,-0.747875062921162,-0.103711543537307
"LNEN030",-0.094496261635605,1.55444749005571,-0.700248736479367
"LNEN031",0.00436707047947921,2.0871569637744,0.296034416773573
"LNEN032",0.0826040635811485,2.5103092229378,0.547164111698847
"LNEN033",-0.30869066224757,2.01417739025778,-0.0269200275635746
"LNEN034",-1.05624195894446,-1.190082885571,-0.0878690424497907
"LNEN035",2.27939112739523,-0.79499864689338,-1.03163666090934
"LNEN036",2.78166512524674,-1.02289761690654,0.41834538705203
"LNEN037",-1.38184153682364,-0.561581156281263,-2.0918287531852
"LNEN038",0.193144393193583,1.86160591949608,1.00814523459806
"LNEN039",-2.21660510747284,-0.580967365598562,-0.160457259187229
"LNEN040",0.0467859681126481,2.1656993320555,0.076849102219139
"LNEN044_TU",-1.71808848225083,-1.17249218738867,-0.497921475005977
"LNEN047_TU",-1.90700869923506,-1.10226237208628,0.904097214758002
"LNEN048_TU",-1.72434220257645,-1.19147622551887,0.672364048214511
"LNEN050_TU",-0.882239038167206,-1.05564871396804,0.964013897241689
"LNEN051_TU",0.429651114112549,2.40965342710773,0.613172312450199
"LNEN052_TU",2.8724689453241,-0.751146553884845,0.871392995025326
"LNEN053_TU",3.28963075318499,-0.847610941634503,1.01424693658854
"LNEN054_TU",0.539128092707915,1.3428106204851,-0.542429398818167
"LNEN055_TU",0.501210295950706,1.85406606569074,-0.152560608588889
"LNEN056_TU",-0.326531491814124,0.584695406940316,-0.334684169092706
"LNEN057_TU",-1.14199534338003,-1.06403078472275,0.024167647733992
"LNEN058_TU",2.87642841668125,-0.878371710494864,-0.280709424254522
"LNEN060_TU",0.304696873508009,1.24671245570246,-0.484785541379555
"LNEN061_TU",0.0722802490764071,1.12067305266988,-0.819968664532398
"LNEN063_TU",-1.92269970793298,-1.31054037652062,0.447343069985777
"LNEN064_TU",0.395742570692138,1.64807244078559,0.192656688759641
"LNEN066_TU",3.43692165708191,-1.21243183846795,0.482641907041613
"LNEN067_TU",3.24711031940605,-0.959521237293138,0.848776130807082
"LNEN068_TU",-1.79398821662187,-1.08551225867128,-0.440939922432056
"LNEN069_TU",0.0294688927569857,-0.916626573002064,0.103971633649945
"LNEN071_TU",-0.0364111905902671,-0.420427267656806,-3.35667403815963
"LNEN072_TU",1.80940986847862,-0.671578204439756,-1.74681352026123
"LNEN073_TU",3.25440572831539,-1.07861624486449,1.08799729029311
"LNEN074_TU",-0.11106594268678,1.62601071113732,-0.686187612494802
"LNEN076_TU",-1.6515612555032,-1.28242803292332,-0.338004395484072
"LNEN077_TU",-0.0425543559144823,0.63604308076919,0.411250619919707
"LNEN079_TU",0.239577745825651,1.92177397004681,-0.796720857671308
