"Model","Sample","Axis","Correlation","RMSE"
"MOFA-SRR10720230","SRR10720230","Factor1",0.99790759490226,0.115685149029781
"MOFA-SRR10720230","SRR10720230","Factor2",0.995477784368713,0.132799014133112
"MOFA-SRR10720230","SRR10720230","Factor5",0.978653816251779,0.213635366793735
