"Sample","Factor1","Factor2","Factor5"
"LNEN002",2.7869815826416,-0.584743618965149,0.692923247814178
"LNEN003",-0.00424340600147843,1.89924895763397,0.12521705031395
"LNEN004",-0.0303617492318153,2.15296840667725,0.220001026988029
"LNEN005",0.0494977012276649,-0.8010373711586,-5.03531074523926
"LNEN006",0.276130765676498,1.27751338481903,0.143773108720779
"LNEN007",3.50811100006104,-0.562893986701965,0.588306128978729
"LNEN008",3.09633231163025,-0.587129175662994,1.10332095623016
"LNEN009",2.11897492408752,-0.15871100127697,-1.41072010993958
"LNEN010",4.05480241775513,-0.773241639137268,0.590669810771942
"LNEN011",-0.365155309438705,2.35587024688721,0.433746635913849
"LNEN012",0.670940399169922,-0.565546572208405,-3.82496023178101
"LNEN013",-1.72027277946472,-1.13503777980804,0.479455947875977
"LNEN014",3.7407922744751,-0.840730965137482,0.987145721912384
"LNEN015",2.99136972427368,-0.818751096725464,0.205239519476891
"LNEN016",-0.0360089614987373,1.21391916275024,-1.31398105621338
"LNEN017",2.95292687416077,-0.621049106121063,-0.452559530735016
"LNEN018",0.301904290914536,1.23702001571655,0.050901647657156
"LNEN019",-1.13976800441742,-1.11459302902222,-0.270457178354263
"LNEN020",3.08583903312683,-0.513210415840149,-0.431113630533218
"LNEN021",-1.42501521110535,-1.44450795650482,-0.427312970161438
"LNEN022",0.0184336416423321,-0.433328956365585,-3.31864380836487
"LNEN023",0.678725779056549,2.06974720954895,0.871759951114655
"LNEN024",-0.699922859668732,1.14143002033234,0.377916038036346
"LNEN025",-0.058866836130619,2.20419669151306,0.0693753287196159
"LNEN026",0.910094022750854,-1.06131434440613,-0.298921167850494
"LNEN027",-1.44551777839661,0.227391853928566,0.360540926456451
"LNEN028",-0.0187444668263197,1.58211779594421,-0.383836835622787
"LNEN029",2.83428859710693,-0.556556284427643,0.0472040250897408
"LNEN030",-0.235754057765007,1.54898142814636,-0.74174302816391
"LNEN031",-0.143332093954086,2.1172297000885,0.183934733271599
"LNEN032",-0.142244443297386,2.60333800315857,0.49731582403183
