"Model","Sample","Axis","Correlation","RMSE"
"MOFA-SRR18543964","SRR18543964","Morphology_LF",0.995950727132198,0.205418607620419
"MOFA-SRR18543964","SRR18543964","Adaptive-response_LF",0.963690391470601,0.384939536688017
