"Sample","Morphology_LF","Adaptive-response_LF"
"MESO_001_T",-0.355571985244751,0.0100709460675716
"MESO_002_T2",-1.34610843658447,0.837845921516418
"MESO_003_T2",0.0575447157025337,-1.16577017307281
"MESO_006_T",0.638389706611633,-2.67418241500854
"MESO_007_T",2.4766948223114,-1.01111459732056
"MESO_009_T",0.275218516588211,0.321489751338959
"MESO_010_T",0.769854784011841,-2.00683403015137
"MESO_011_T",0.977878391742706,-1.97164583206177
"MESO_012_T",-0.164609670639038,2.25825524330139
"MESO_013_T",1.4902411699295,-1.88477325439453
"MESO_014_T",0.596270203590393,-1.21796894073486
"MESO_015_T",1.87396395206451,-0.949104070663452
"MESO_016_T",2.18199920654297,-0.569308042526245
"MESO_017_T",0.90491658449173,-1.03382861614227
"MESO_018_T",1.49862563610077,-2.71824979782104
"MESO_019_T",-3.7699818611145,-1.50708103179932
"MESO_020_T",1.1639791727066,0.892573595046997
"MESO_021_T",0.745887875556946,-1.14310765266418
"MESO_022_T",0.890680909156799,0.667353212833405
"MESO_023_T",-0.699239909648895,1.41952049732208
"MESO_024_T",-1.68471479415894,0.479254126548767
"MESO_025_T",0.0697719752788544,-1.42041325569153
"MESO_026_T",2.08519053459167,0.250020265579224
"MESO_027_T",0.59755939245224,-0.653685688972473
"MESO_028_T",2.1963210105896,-0.0715169981122017
"MESO_029_T",0.520681142807007,-0.876762926578522
"MESO_030_T",-1.11863672733307,2.82788491249084
"MESO_031_T",0.188197746872902,-0.694794774055481
"MESO_032_T",-0.547192931175232,0.965839743614197
"MESO_033_T",0.461608707904816,2.18945217132568
"MESO_034_T",0.629174888134003,1.67635440826416
"MESO_035_T",-0.270221799612045,0.690414488315582
"MESO_036_T",0.154670640826225,1.432541847229
"MESO_037_T",-0.997332811355591,-1.858762383461
"MESO_038_T",0.0451382920145988,0.390035688877106
"MESO_039_T",-0.139233887195587,1.67617535591125
"MESO_040_T",0.332982838153839,-0.590879559516907
"MESO_041_T1",-0.0424690805375576,0.745044708251953
"MESO_042_T1",0.870003581047058,1.42429423332214
"MESO_043_T",1.92344975471497,1.19945251941681
"MESO_044_T",-1.14520621299744,0.554521501064301
"MESO_045_T",-0.0765863880515099,3.03783345222473
