sample_id,manuscript_id,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
LNEN002,LNEN002,2.93152682362172,-0.778836778144241,-2.82232095473231,-0.00500143816829597,0.654034704262002,0.472506151313444,-0.33817630071841,0.421272071366904,-0.232917066442547,-1.84041177305273
LNEN003,LNEN003,0.141281048128896,1.90887628934229,-0.55850535253178,0.350397465639536,0.381332385614461,0.391135631949764,-0.0520320866652576,0.591746922236107,-0.616457775907504,0.265009279295015
LNEN004,LNEN004,0.121415414811299,2.14883253715323,-0.492770105614052,0.273302723537974,0.423750977147909,-0.0555456165914883,-0.0968249748237516,0.699316888444812,-0.547368352513516,0.229272252587366
LNEN005,LNEN005,-0.0531877033596717,-0.663661521423795,0.872511034147513,0.665157860882094,-5.13934245751566,1.1684640404091,0.925062086547409,0.834059007298904,0.109365097431892,0.337073722510565
LNEN006,LNEN006,0.29001517746573,1.27047425499718,0.67028414667427,-0.559942564632344,0.224200108810661,-0.206416984044765,-0.0917580091917503,1.18738627242872,-0.47904009131684,-0.763896515443565
LNEN007,LNEN007,3.28805797886235,-0.700315151955857,1.89420131230836,0.793680643461656,0.689390473221642,0.286610226520151,-0.559638198831251,0.391775792891464,-0.205190769938727,0.544433297434076
LNEN008,LNEN008,3.22608372166154,-0.85152979804425,-2.99503183595764,0.325177483567352,0.921770552117166,-0.592704250297404,-0.605529670266642,-0.190409368324906,0.148801910473814,-2.10739908656494
LNEN009,LNEN009,1.90262832162416,-0.197278320153166,2.15131662329434,-0.198644347897748,-1.37744314549398,1.67845870061964,-1.85593655286267,0.537744520425549,-0.17196222799255,-2.04612836166687
LNEN010,LNEN010,3.78453381825248,-0.923875800783982,2.15014568213825,0.322602950276498,0.667373763032818,0.512043974868614,-1.46290951149638,0.372026770276537,-0.122064402183634,0.663649716295865
LNEN011,LNEN011,-0.206080710716075,2.32453625330271,-0.419894269354961,-0.167287491237205,0.563950908296549,0.368184531578931,-0.358760756780096,0.17406758509532,-0.0455905303884568,-0.150519708325564
LNEN012,LNEN012,0.565295894802178,-0.554065392121885,0.984653570777079,0.809857209058571,-4.0256577255758,1.94906307686075,-1.61238999339097,0.173093768484856,0.987020019876097,0.46032648626138
LNEN013,LNEN013,-1.78611917279548,-1.05649808195049,0.486309687362977,-0.178291966535001,0.498359488725149,2.13718750437107,0.708135137894996,0.731115796242876,0.0011654947929398,-1.49533527994321
LNEN014,LNEN014,3.58737272168547,-1.04564095898129,0.817295382263864,0.0698749976114919,0.901571806526435,-0.933464926889852,-0.21597557564973,-0.0148085983086048,0.0894502499178308,0.164981955581326
