sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNEN026	0.201083005550794	0.294688505174282	0.504228489274924	0	Ca B
LNEN027	0.181302244405875	0.466752921408864	0	0.35194483418526	Ca A1
LNEN028	0.223643944561552	0.0362345194626957	0.0537086427698652	0.686412893205887	Ca A2
LNEN029	0.168271485555464	0	0.787180855069734	0.0445476593748022	Ca B
LNEN030	0.258334058773939	0.038870444048814	0.00290223442213776	0.699893262755109	Ca A2
LNEN031	0.0897089153150963	0.0235603824399472	0.0233184350674391	0.863412267177517	Ca A2
LNEN032	0.0373926000549636	0	0.00327154723138003	0.959335852713656	Ca A2
LNEN033	0.135603390365973	0.0516237467755359	0	0.812772862858491	Ca A2
LNEN034	0.197704118513438	0.611837125745465	0.190458755741096	0	Ca A1
LNEN035	0.324079234604399	0.0144338746525731	0.637931765230272	0.0235551255127554	Ca B
LNEN036	0.0869664944579492	0.078961129379051	0.834072376163	0	Ca B
LNEN037	0.503515022599059	0.414949155780351	0	0.0815358216205903	sc-enriched
LNEN038	0	0.0737497878632849	0.116119569648042	0.810130642488673	Ca A2
LNEN039	0.193125428577958	0.679761302465688	0	0.127113268956354	Ca A1
LNEN040	0.121968766884833	0	0.00691836655094784	0.871112866564219	Ca A2
LNEN044_TU	0.268595969691539	0.672754376308147	0.0534451866573399	0.00520446734297371	Ca A1
LNEN047_TU	0.0415253534957713	0.794563856356703	0.104183415151143	0.059727374996383	Ca A1
LNEN048_TU	0.0789653817247705	0.764134158654772	0.129551226645863	0.0273492329745945	Ca A1
LNEN050_TU	0.0244186596991255	0.647722212812502	0.272258372953418	0.0556007545349545	Ca A1
LNEN051_TU	0.0193999190556757	0	0.074572154741554	0.90602792620277	Ca A2
LNEN052_TU	0.0108097643123982	0.0671905276152454	0.8530637940601	0.0689359140122566	Ca B
LNEN053_TU	0	0.0277478395862016	0.936656964841983	0.0355951955718156	Ca B
LNEN054_TU	0.229236434247362	0	0.141090186457922	0.629673379294716	Ca A2
LNEN055_TU	0.152201036026635	0	0.100328651950267	0.747470312023097	Ca A2
LNEN056_TU	0.212037545146098	0.23755941214265	0.0968046142916087	0.453598428419643	Ca A2
LNEN057_TU	0.178754419777607	0.615092333928943	0.170003665968872	0.0361495803245777	Ca A1
LNEN058_TU	0.198898933505422	0	0.794063906811843	0.00703715968273481	Ca B
LNEN060_TU	0.224351453399945	0.0426280041558193	0.11726727472636	0.615753267717876	Ca A2
LNEN061_TU	0.281781255010047	0.0682997524570059	0.0714947985927067	0.57842419394024	Ca A2
LNEN063_TU	0.117628702704683	0.789365117383446	0.0930061799118713	0	Ca A1
LNEN064_TU	0.109069538554733	0.0232649812147532	0.130696749333733	0.736968730896781	Ca A2
LNEN066_TU	0.0643815769064832	0	0.935618423093517	0	Ca B
LNEN067_TU	0.014447409029264	0.042363860787061	0.936956512799238	0.00623221738443697	Ca B
LNEN068_TU	0.258826682815977	0.675321185982222	0.0347833989143846	0.0310687322874162	Ca A1
LNEN069_TU	0.15624997209208	0.434636175527254	0.352299348822334	0.0568145035583312	Ca A1
LNEN071_TU	0.712361562330941	0.113475105112075	0.063900267344721	0.110263065212264	sc-enriched
LNEN072_TU	0.441801037487596	0.00951131690127157	0.500518603739193	0.0481690418719404	Ca B
LNEN073_TU	0	0.0545473938415588	0.945452606158441	0	Ca B
LNEN074_TU	0.253706505783573	0.0316465007028092	0	0.714646993513617	Ca A2
LNEN076_TU	0.241467227211655	0.680898199945639	0.077634572842706	0	Ca A1
LNEN077_TU	0.0884968429971456	0.246088273548434	0.185814642869737	0.479600240584683	Ca A2
LNEN079_TU	0.253299098513826	0	0.00702558299663482	0.73967531848954	Ca A2
LNEN081_TU	0.0403669598425282	0.842615382031626	0.0560232900929792	0.060994368032867	Ca A1
LNEN082_TU	0.162219406802803	0.0729165891215941	0.747608423285061	0.0172555807905423	Ca B
LNEN083_TU	0.118553270700172	0	0.881446729299828	0	Ca B
LNEN084_TU	0.51290553077556	0.00671681716904839	0.430532670136181	0.0498449819192106	sc-enriched
LNEN085_TU	0.120015453394202	0.679548386227829	0.20043616037797	0	Ca A1
LNEN086_TU	0.0344716210720534	0.0458708459403664	0.0326520369161186	0.887005496071462	Ca A2
LNEN087_TU	0.0752106493791459	0.0356580520922733	0.889131298528581	0	Ca B
LNEN089_TU	0.132726486839203	0.328520915222507	0.538752597938289	0	Ca B
LNEN090_TU	0.0189861384328266	0.0355373933190036	0.940231982554244	0.0052444856939261	Ca B
LNEN091_TU	0.364028638819708	0.635971361180292	0	0	Ca A1
LNEN092_TU2	0.0238716472988125	0.921855949591305	0.0542724031098824	0	Ca A1
LNEN093_TU2	0.17508816343747	0.699135882730581	0.0681010648881961	0.0576748889437525	Ca A1
LNEN094_TU5	0.149825165007523	0	0.850174834992477	0	Ca B
LNEN095_TU2	0	0.0172698535060037	0.982730146493996	0	Ca B
LNEN096_TU3	0.0160872388232997	0.0110063492016243	0.0785055504394856	0.89440086153559	Ca A2
LNEN097_TU5	0.00667392303210707	0.811830979863198	0.0190191539854677	0.162475943119227	Ca A1
LNEN098_TU1	0.00551092147210775	0.0297747647745814	0.0219689626129046	0.942745351140406	Ca A2
LNEN099_TU2	0.243926780996912	0.628779700310888	0.127293518692201	0	Ca A1
LNEN100_TU1	0.168697968257813	0.831302031742187	0	0	Ca A1
LNEN101_TU1	0.182705802960539	0.0513680211136267	0	0.765926175925834	Ca A2
LNEN102_TU1	0.143843912174979	0.0671332211005472	0.070196233798426	0.718826632926048	Ca A2
LNEN103_TU2	0.141929261189769	0.782234767363371	0.0285326494014846	0.0473033220453747	Ca A1
LNEN104_TU3	0.298178553383761	0.672270159681249	0	0.0295512869349904	Ca A1
LNEN105_TU1	0.259473541745621	0.650984488362257	0.0260967298199159	0.0634452400722061	Ca A1
LNEN106_TU1	0.00530298406354796	0	0.994697015936452	0	Ca B
LNEN107_TU2	0.501925832407831	0.331934546923236	0.132534659873751	0.0336049607951814	sc-enriched
LNEN108_TU1	0.203330235310054	0.729699488975682	0.0255590456865288	0.0414112300277354	Ca A1
LNEN109_TU	0.141485694488188	0.713249484864783	0.0380552255385963	0.107209595108433	Ca A1
LNEN110_TU	0.228127038846477	0.270585353255396	0.501287607898127	0	Ca B
LNEN111_TU2	0.313467257553162	0.0568263138106597	0.619465319456318	0.0102411091798609	Ca B
