sample_id,archetype_k4_LF3_label
LNEN249_TU,Ca A1
LNEN250_TU,Ca A2
LNEN251_TU1,Ca B
LNEN252_TU,Ca B
LNEN253_TU,Ca A2
LNEN255_TU,Ca A1
LNEN258_TU,Ca B
LNEN263_TU,Ca A2
LNEN268_TU,Ca A2
LNEN269_TU,Ca A1
LNEN270_TU,Ca A2
LNEN272_TU,Ca A1
LNEN273_TU,Ca A1
LNEN274_TU,Ca B
LNEN276_TU,Ca A1
LNEN277_TU,Ca B
LNEN278s1_TU1,sc-enriched
LNET10T,sc-enriched
LNET13T,Ca A1
LNET14T,Ca A1
LNET16T,sc-enriched
LNET19T,Ca A2
LNET2T,Ca B
LNET5T,Ca A1
LNET6T,Ca A1
Lu_Aty2,sc-enriched
S00016,Ca A1
S00076,Ca A1
S00089,Ca B
S00094,Ca A2
S00118,Ca B
S00128,Ca A1
S00515,Ca A2
S00516,Ca A2
S00520,Ca B
S00716_B,Ca B
S00858,Ca A2
S01060_B_TU,Ca A1
S01103,Ca A2
S01202,Ca B
S01493,Ca B
S01501,Ca A1
S01502,Ca A1
S01504_B_TU,Ca A1
S01510,Ca B
S01513,sc-enriched
S01515,Ca A1
S01519,Ca A1
S01520,Ca A1
S01521,Ca A2
S01522,Ca A1
S01526,Ca A2
S01528,Ca A1
S01529,Ca A2
S01531,Ca A2
S01532,Ca A2
S01536,Ca A1
S01537,Ca A2
S01538,Ca A2
S01539,Ca A2
S01540,Ca A1
S01541,Ca A2
S01543,Ca A1
S01545,Ca A1
S01546,Ca A2
S01567,Ca B
S01572,Ca A1
S01573,Ca A1
S01576,Ca A1
S01577,Ca A1
S01582,Ca A2
S01583,Ca A2
S01584,Ca A2
S01585,Ca A2
S01590,Ca A1
S01593,Ca A2
S01605_B_TU,Ca A2
S01666,Ca B
S01731,Ca A2
S01733,Ca A1
S01742,Ca A1
S01746,Ca A1
S02126,Ca A1
S02154,Ca A1
S02162,Ca A1
S02323,Ca B
S02325,Ca B
S02326,Ca A2
S02327,Ca A1
S02330,Ca A1
S02331,Ca A1
S02333,Ca A1
S02334,Ca A2
S02335,Ca A1
S02337,Ca A1
S02338,Ca A2
S02339,Ca A2
S02340,Ca A1
SRR10720229,sc-enriched
